"stringKey","en","de"
"key_Username","Name","Name"
"key_Email","Email","Email"
"key_Password","Password","Passwort"
"key_SignIn","SignIn","Einloggen"
"key_SignUp","SignUp","Anmeldung"
"key_ShowPassword","Show Password","Passwort Anzeigen"
"key_SignInErrorMessage","Wrong signin credentials!","Falsche Anmeldedaten"
"key_LevelSelectionLabel","Select a level","Wählen Sie eine Stufe"
"key_LevelLockedLabel","Locked","Gesperrt"
"key_lvl01_levelLabel","Playground","Spielplatz"
"key_lvl02_levelLabel","Farm","Bauernhof"
"key_lvl03_levelLabel","City","Stadt"
"key_lvl04_levelLabel","School","Schule"
"key_TreeName","Tree","Baum"
"Key_TreeDescription","A tree is a tall plant with a trunk and branches made of wood","Ein Baum ist eine hohe Pflanze mit einem Stamm und Ästen aus Holz"
"key_TreeHint1","Tall","Hoch"
"key_BallName","Ball","Ball"
"Key_BallDescription","A solid or hollow spherical or egg-shaped object that is kicked, thrown, or hit in a game","Ein fester oder hohler kugel oder eiförmiger Gegenstand, der in einem Spiel getreten, geworfen oder getroffen wird"
"key_BallHint1","Spherical","Kugelförmig"
"key_BenchName","Bench","Bank"
"Key_BenchDescription","A long seat for several people, typically made of wood or stone","Ein langer Sitz für mehrere Personen, typischerweise aus Holz oder Stein"
"key_BenchHint1","Wood","Holz"
"key_BushName","Bush","Busch"
"Key_BushDescription","A shrub or clump of shrubs with stems of moderate length","Ein Strauch oder eine Strauchgruppe mit mäßig langen Stielen"
"key_BushHint1","Green","Grün"
"key_ChairName","Chair","Sessel"
"Key_ChairDescription","A separate seat for one person, typically with a back and four legs","Ein separater Sitz für eine Person, typischerweise mit Rücken und vier Beinen"
"key_ChairHint1","Four Legs","Vier Beine"
"key_CloudName","Cloud","Wolke"
"Key_CloudDescription","A visible mass of condensed watery vapour floating in the atmosphere","Eine sichtbare Masse aus kondensiertem Wasserdampf, die in der Atmosphäre schwebt"
"key_CloudHint1","White","Weiß"
"key_MerryGoRoundName","Merry-Go-Round","Karussel"
"Key_MerryGoRoundDescription","A revolving machine with model horses or seats on which people ride for amusement","Eine sich drehende Maschine mit Modellpferden oder Sitzen, auf denen die Leute zum Vergnügen reiten"
"key_MerryGoRoundHint1","Three Seats","Drei Sitze"
"key_MonkeyBarsName","Monkey Bars","Klettergerüst"
"Key_MonkeyBarsDescription","A piece of playground equipment from which children may swing","Ein Spielgerät, auf dem Kinder schaukeln können"
"key_MonkeyBarsHint1","Bars","Riegel"
"key_SandboxName","Sandbox","Sandkasten"
"Key_SandboxDescription","A hollow box in the ground partly filled with sand to play in","Eine hohle Kiste im Boden, die teilweise mit Sand gefüllt ist, um darin zu spielen"
"key_SandboxHint1","Sand","Sand"
"key_SeasawName","Seasaw","Wippe"
"Key_SeasawDescription","A long plank balanced in the middle on a fixed support, on each end of which children sit and swing","Ein langes Brett, das in der Mitte auf einer festen Unterlage balanciert, an jedem Ende sitzen und schaukeln Kinder"
"key_SeasawHint1","Plank","Planke"
"key_SlideName","Slide","Rutschen"
"Key_SlideDescription","A structure with a smooth sloping surface for children to slide down","Eine Struktur mit einer glatten schrägen Oberfläche, damit Kinder herunterrutschen können"
"key_SlideHint1","Slope","Neigung"
"key_SwingName","Swing","Schaukel"
"Key_SwingDescription","A seat suspended by ropes or chains, on which someone may sit and swing back and forth","Ein an Seilen oder Ketten aufgehängter Sitz, auf dem jemand sitzen und hin und her schwingen kann"
"key_SwingHint1","Suspended Seat","Gefederter Sitz"
"key_TableName","Table","Tisch"
"Key_TableDescription","A piece of furniture with a flat top and one or more legs","Ein Möbelstück mit einer flachen Oberseite und einem oder mehreren Beinen"
"key_TableHint1","Flat","Eben"
"key_CrateName","Crate","Kiste"
"Key_CrateDescription","A slatted wooden case used for transporting goods","Eine Holzlattenkiste für den Transport von Waren"
"key_CrateHint1","Wood","Holz"
"key_CabbageName","Cabbage","Kohl"
"Key_CabbageDescription","A vegetable having thick green leaves surrounding a spherical heart","Ein Gemüse mit dicken grünen Blättern, die ein kugelförmiges Herz umgeben"
"key_CabbageHint1","Green","Grün"
"key_MushroomName","Mushroom","Champignon"
"Key_MushroomDescription","A fungal growth that looks like a cap on a stalk, with gills","Ein Pilzwachstum, das wie eine Kappe auf einem Stiel aussieht, mit Kiemen"
"key_MushroomHint1","Cap","Deckel"
"key_RockName","Rock","Felsen"
"Key_RockDescription","A solid mineral material forming part of the surface of the earth","Ein fester Mineralstoff, der einen Teil der Erdoberfläche bildet"
"key_RockHint1","Grey","Grau"
"key_SoilName","Soil","Boden"
"Key_SoilDescription","A black or dark brown material in which plants grow","Ein schwarzes oder dunkelbraunes Material, in dem Pflanzen wachsen"
"key_SoilHint1","Brown","Braun"
"key_TomatoName","Tomato","Tomate"
"Key_TomatoDescription","A glossy red edible fruit that is usually eaten in salads","Eine glänzend rote essbare Frucht, die normalerweise in Salaten gegessen wird"
"key_TomatoHint1","Red","Rot"
"key_WateringCanName","Watering Can","Gießkanne"
"Key_WateringCanDescription","A portable water container with a long spout used for watering plants","Ein tragbarer Wasserbehälter mit langem Ausguss zum Bewässern von Pflanzen"
"key_WateringCanHint1","Spout","Tülle"
